"YEAR","COUNTRY","RANKING","ECONOMY","MILLIONS_OF_DOLLARS","FLAGGED"
2015,"USA",1,"United States"," 18,036,648 ",
2015,"CHN",2,"China"," 11,007,721 ",
2015,"JPN",3,"Japan"," 4,383,076 ",
2015,"DEU",4,"Germany"," 3,363,447 ",
2015,"GBR",5,"United Kingdom"," 2,858,003 ",
2015,"FRA",6,"France"," 2,418,836 ",
2015,"IND",7,"India"," 2,095,398 ",
2015,"ITA",8,"Italy"," 1,821,497 ",
2015,"BRA",9,"Brazil"," 1,774,725 ",
2015,"CAN",10,"Canada"," 1,550,537 ",
2015,"KOR",11,"Korea, Rep."," 1,377,873 ",
2015,"AUS",12,"Australia"," 1,339,141 ",
2015,"RUS",13,"Russian Federation"," 1,331,208 ","a"
2015,"ESP",14,"Spain"," 1,199,057 ",
2015,"MEX",15,"Mexico"," 1,143,793 ",
2015,"IDN",16,"Indonesia"," 861,934 ",
2015,"NLD",17,"Netherlands"," 750,284 ",
2015,"TUR",18,"Turkey"," 717,880 ",
2015,"CHE",19,"Switzerland"," 670,790 ",
2015,"SAU",20,"Saudi Arabia"," 646,002 ",
2015,"ARG",21,"Argentina"," 583,169 ","b"
2015,"SWE",22,"Sweden"," 495,624 ",
2015,"NGA",23,"Nigeria"," 481,066 ",
2015,"POL",24,"Poland"," 477,066 ",
2015,"BEL",25,"Belgium"," 455,086 ",
2015,"IRN",26,"Iran, Islamic Rep."," 425,326 ",
2015,"THA",27,"Thailand"," 395,168 ",
2015,"NOR",28,"Norway"," 386,578 ",
2015,"AUT",29,"Austria"," 376,950 ",
2015,"ARE",30,"United Arab Emirates"," 370,296 ",
2015,"EGY",31,"Egypt, Arab Rep."," 330,779 ",
2015,"ZAF",32,"South Africa"," 314,572 ",
2015,"HKG",33,"Hong Kong SAR, China"," 309,235 ",
2015,"ISR",34,"Israel"," 299,416 ",
2015,"MYS",35,"Malaysia"," 296,283 ",
2015,"DNK",36,"Denmark"," 295,091 ",
2015,"SGP",37,"Singapore"," 292,739 ",
2015,"PHL",38,"Philippines"," 292,451 ",
2015,"COL",39,"Colombia"," 292,080 ",
2015,"IRL",40,"Ireland"," 283,703 ",
2015,"PAK",41,"Pakistan"," 271,050 ",
2015,"CHL",42,"Chile"," 240,796 ",
2015,"FIN",43,"Finland"," 231,950 ",
2015,"PRT",44,"Portugal"," 198,923 ",
2015,"BGD",45,"Bangladesh"," 195,079 ",
2015,"GRC",46,"Greece"," 194,851 ",
2015,"VNM",47,"Vietnam"," 193,599 ",
2015,"PER",48,"Peru"," 189,111 ",
2015,"CZE",49,"Czech Republic"," 185,156 ",
2015,"KAZ",50,"Kazakhstan"," 184,388 ",
2015,"IRQ",51,"Iraq"," 180,069 ",
2015,"ROM",52,"Romania"," 177,954 ",
2015,"NZL",53,"New Zealand"," 173,754 ",
2015,"DZA",54,"Algeria"," 166,839 ",
2015,"QAT",55,"Qatar"," 164,641 ",
2015,"HUN",56,"Hungary"," 121,715 ",
2015,"KWT",57,"Kuwait"," 114,041 ",
